,Manufacturer,Screen_Size,RAM,GPU,Operating_System,Operating_System_Version,Weight,Storage_Capacity,Storage_Type,CPU_brand,CPU_freq,CPU_cores,CPU_model,Screen_Resolution,Screen_Model,GPU_brand
172,Lenovo,15.6,4,AMD Radeon R4 Graphics,No OS,No OS,2.2,500,HDD,AMD,2.9,2,A6 Series 9220,1366x768,Unknown,AMD
173,Toshiba,15.6,4,Intel HD Graphics 620,Windows,10,2.0,500,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
174,HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
175,Dell,15.6,8,Intel HD Graphics 620,Windows,10,2.3,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
176,Acer,15.6,4,Intel HD Graphics 520,Windows,10,2.1,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
177,MSI,18.4,32,Nvidia GTX 980 SLI,Windows,10,4.4,1536,SSD + HDD,Intel,2.9,4,Core i7 6920HQ,1920x1080,Full HD,Nvidia
178,Lenovo,15.6,8,AMD R17M-M1-70,Windows,10,1.9,1152,SSD + HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
179,HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.29,256,SSD,Intel,1.6,4,Core i5 8250U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
180,Dell,15.6,16,AMD Radeon 530,Linux,Unkonwn,2.02,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
181,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.23,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
182,Lenovo,13.9,16,Intel UHD Graphics 620,Windows,10,1.4,512,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
183,Toshiba,15.6,8,Intel HD Graphics 620,Windows,10,2.0,128,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
184,Xiaomi,15.6,8,Nvidia GeForce MX150,No OS,No OS,1.95,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
185,Dell,17.3,16,Nvidia GeForce 150MX,Windows,10,2.77,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Nvidia
186,Dell,15.6,16,Nvidia GeForce GTX 1050,Windows,10,2.06,512,SSD,Intel,2.8,4,Core i7 7700HQ,3840x2160,4K Ultra HD / Touchscreen,Nvidia
187,Lenovo,15.6,8,Nvidia GeForce GTX 1050,No OS,No OS,2.4,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
188,Acer,13.3,8,Intel HD Graphics 615,Windows,10,1.12,256,SSD,Intel,1.2,2,Core i5 7Y54,1920x1080,IPS Panel Full HD,Intel
189,Dell,17.3,8,AMD Radeon 530,Windows,10,2.8,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
190,Lenovo,14.0,16,Intel HD Graphics 620,Windows,10,1.42,1024,SSD,Intel,2.7,2,Core i7 7500U,2560x1440,Touchscreen,Intel
191,Vero,14.0,4,Intel HD Graphics 500,Windows,10,1.3,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1920x1080,IPS Panel Full HD,Intel
192,Xiaomi,13.3,8,Nvidia GeForce MX150,No OS,No OS,1.3,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Nvidia
193,Lenovo,17.3,8,Nvidia GeForce MX150,No OS,No OS,2.8,256,SSD,Intel,1.6,4,Core i5 8250U,1600x900,Unknown,Nvidia
194,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.62,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
195,HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
196,Razer,17.3,32,Nvidia GeForce GTX 1080,Windows,10,3.49,1024,SSD,Intel,2.9,4,Core i7 7820HK,3840x2160,4K Ultra HD / Touchscreen,Nvidia
197,HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.49,512,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
198,HP,17.3,16,Nvidia GeForce GTX 1050,Windows,10,3.35,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
199,HP,17.3,8,Nvidia GeForce 930MX ,Windows,10,2.5,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
200,Dell,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.65,1536,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,3840x2160,IPS Panel 4K Ultra HD,Nvidia
201,Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,2.1,128,SSD,Intel,2.3,2,Core i5 6200U,1366x768,Unknown,Intel
202,Acer,15.6,8,Nvidia GeForce 940MX,Windows,10,2.23,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
203,Lenovo,15.6,16,Nvidia GeForce GTX 1060,Windows,10,3.2,1536,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
204,Dell,15.6,16,Nvidia Quadro M1200,Windows,10,2.8,1280,SSD + HDD,Intel,3.0,4,Xeon E3 1505M V6,3840x2160,4K Ultra HD,Nvidia
205,Lenovo,15.6,16,Nvidia GeForce GTX 1060,No OS,No OS,2.4,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
206,Dell,15.6,6,Intel HD Graphics 620,Windows,10,2.3,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Touchscreen,Intel
207,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.21,256,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
208,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.2,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
209,Lenovo,15.6,8,Intel HD Graphics 620,Windows,10,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
210,Acer,15.6,8,Nvidia GeForce GTX 1050,Linux,Unkonwn,2.4,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
211,Asus,17.3,16,Nvidia GeForce GTX 1050,Windows,10,2.9,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
212,HP,15.6,4,Intel HD Graphics 520,No OS,No OS,2.1,500,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
213,Lenovo,15.6,8,Intel HD Graphics 620,No OS,No OS,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
214,Huawei,13.0,8,Intel HD Graphics 620,Windows,10,1.05,512,SSD,Intel,2.7,2,Core i7 7500U,2160x1440,IPS Panel Full HD,Intel
215,Dell,13.3,8,AMD Radeon 530,Windows,10,1.4,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,AMD
216,Lenovo,17.3,8,Nvidia GeForce GTX 940MX,No OS,No OS,2.8,1024,HDD,Intel,2.5,2,Core i5 7200U,1600x900,Unknown,Nvidia
217,HP,14.0,8,Nvidia GeForce 930MX,Windows,10,1.63,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
218,Dell,14.0,8,Intel UHD Graphics 620,Windows,10,1.6,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
219,Dell,13.3,16,Intel UHD Graphics 620,Windows,10,1.62,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Intel
220,Dell,15.6,8,AMD Radeon 520,Linux,Unkonwn,2.2,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
221,Lenovo,14.0,8,Intel UHD Graphics 620,Windows,10,1.74,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
222,Toshiba,13.3,8,Intel HD Graphics 520,Windows,10,1.2,256,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,Full HD,Intel
223,HP,15.6,8,Intel UHD Graphics 620,Windows,10,2.1,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
224,Dell,17.3,16,Nvidia GeForce GTX 1060,Windows,10,4.42,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
225,Acer,15.6,8,Nvidia GeForce 940MX,Windows,10,2.2,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
226,Dell,15.6,16,AMD Radeon R7 M445,Windows,10,2.3,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD / Touchscreen,AMD
227,Asus,15.6,8,Nvidia GeForce 920MX ,Windows,10,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
228,Asus,17.3,8,Nvidia GeForce GTX 950M,Windows,10,2.69,756,SSD + HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
229,HP,15.6,8,AMD FirePro W4190M ,Windows,10,1.9,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
230,Asus,15.6,4,Intel HD Graphics 620,Windows,10,2.37,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
231,HP,15.6,4,AMD Radeon R2,Windows,10,2.1,500,HDD,AMD,1.5,2,E Series 9000e,1366x768,Unknown,AMD
232,Lenovo,15.6,16,Nvidia GeForce GTX 1060,Windows,10,3.2,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
233,Dell,14.0,8,Intel HD Graphics 620,Windows,10,1.6,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
234,Acer,13.3,8,Intel HD Graphics 520,Windows,10,1.6,256,SSD,Intel,2.3,2,Core i5 6200U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
235,Dell,15.6,16,AMD Radeon R7 M445,Linux,Unkonwn,2.36,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
236,Acer,15.6,4,Intel HD Graphics 520,Linux,Unkonwn,2.1,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
237,Asus,15.6,4,AMD Radeon R5 M430,Windows,10,2.2,1152,SSD + HDD,AMD,2.5,4,A10 Series A10 9620P,1920x1080,Full HD,AMD
238,Asus,17.3,32,Nvidia GeForce GTX 1080,Windows,10,4.7,1536,SSD + HDD,Intel,2.9,4,Core i7 7820HK,1920x1080,Full HD,Nvidia
239,Acer,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
240,Lenovo,15.6,8,Intel HD Graphics 520,Windows,10,2.2,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
241,Asus,17.3,8,Nvidia GeForce 150MX,Windows,10,2.1,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
242,Asus,17.3,8,Nvidia GeForce GTX 950M,No OS,No OS,2.69,1152,SSD + HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
243,Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.56,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
244,Lenovo,13.9,8,Intel HD Graphics 620,Windows,10,1.38,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
245,Dell,15.6,8,AMD Radeon 530,Windows,10,2.2,2176,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
246,HP,15.6,8,Intel HD Graphics 620,Windows,10,2.04,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Touchscreen,Intel
247,Asus,17.3,16,Nvidia GeForce GTX 1080,Windows,10,3.6,256,SSD,Intel,2.9,4,Core i7 7820HK,1920x1080,Full HD,Nvidia
248,HP,13.3,4,Intel UHD Graphics 620,Windows,10,1.49,500,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
249,Apple,13.3,8,Intel Iris Plus Graphics 650,macOS,Unkonwn,1.37,512,SSD,Intel,3.1,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
250,Dell,15.6,8,Intel UHD Graphics 620,Windows,10,2.08,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
251,Asus,17.3,16,Nvidia GeForce GTX 980M,Windows,10,4.3,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
252,Asus,15.6,4,AMD Radeon R5 M420,Windows,10,1.68,1024,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
253,Lenovo,13.9,8,Intel UHD Graphics 620,Windows,10,1.37,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
254,Acer,17.3,4,Nvidia GeForce MX130,Windows,10,3.0,256,SSD,Intel,2.7,2,Core i3 7130U,1920x1080,IPS Panel Full HD,Nvidia
255,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.41,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
256,HP,15.6,8,AMD Radeon R4 Graphics,Windows,10,1.91,128,SSD,AMD,2.5,2,A6 Series A6 9220,1366x768,Unknown,AMD
257,HP,17.3,16,Nvidia GeForce MX150,Windows,10,2.9,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
258,MSI,17.3,16,Nvidia GeForce GTX 1070,Windows,10,4.14,1536,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
259,Lenovo,15.6,8,Nvidia GeForce GTX 1050M,Windows,10,2.0,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD / Touchscreen,Nvidia
260,Dell,17.3,8,AMD Radeon 530,Windows,10,2.8,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
261,Lenovo,15.6,4,Intel HD Graphics 520,No OS,No OS,2.2,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
262,HP,15.6,4,Intel HD Graphics 620,Windows,10,2.1,500,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
263,Dell,15.6,4,Intel HD Graphics 620,Windows,10,2.18,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
264,Dell,15.6,8,AMD Radeon R5 M430,Windows,10,2.24,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
265,Dell,15.6,8,Intel UHD Graphics 620,Windows,10,2.67,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Intel
266,Asus,13.3,8,Intel UHD Graphics 620,Windows,10,1.1,1024,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Intel
267,Lenovo,15.6,4,Intel HD Graphics 620,No OS,No OS,2.2,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
268,HP,17.3,8,Nvidia GeForce 930MX ,Windows,10,2.5,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
269,Lenovo,15.6,8,Intel UHD Graphics 620,Windows,10,2.05,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
270,Apple,13.3,8,Intel Iris Graphics 550,macOS,Unkonwn,1.37,512,SSD,Intel,2.9,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
271,Asus,17.3,16,AMD Radeon RX 580,Windows,10,3.2,1280,SSD + HDD,AMD,3.0,8,Ryzen 1700,1920x1080,Full HD,AMD
272,Dell,15.6,8,AMD Radeon 520,Linux,Unkonwn,2.14,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
273,Lenovo,14.0,16,Intel HD Graphics 520,Windows,10,1.36,512,SSD,Intel,2.6,2,Core i7 6600U,2560x1440,Touchscreen,Intel
274,Toshiba,15.6,8,Nvidia GeForce 930M,Windows,10,2.2,500,HDD,Intel,2.5,2,Core i7 6500U,1366x768,Unknown,Nvidia
275,Dell,15.6,12,Intel HD Graphics 620,Windows,10,2.3,1024,HDD,Intel,2.7,2,Core i7 7500U,1366x768,Unknown,Intel
276,Dell,17.3,8,AMD Radeon 530,Linux,Unkonwn,2.8,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
277,Acer,15.6,8,Nvidia GeForce MX130,Windows,10,2.2,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
278,Lenovo,17.3,4,Intel HD Graphics 520,Windows,10,2.8,1024,HDD,Intel,2.0,2,Core i3 6006U,1600x900,Unknown,Intel
279,Lenovo,17.3,8,Nvidia GeForce MX150,No OS,No OS,2.8,2048,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
280,Lenovo,17.3,6,Nvidia GeForce 940MX,Windows,10,2.8,1152,SSD + HDD,Intel,2.7,2,Core i7 7500U,1600x900,Unknown,Nvidia
281,Dell,15.6,4,AMD Radeon R5 M430,Linux,Unkonwn,2.25,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
282,Lenovo,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
283,Lenovo,15.6,6,Intel HD Graphics 620,Windows,10,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
284,Acer,15.6,8,Nvidia GeForce MX150,Windows,10,3.0,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
285,Acer,15.6,12,Intel HD Graphics 620,Windows,10,2.15,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
286,Lenovo,15.6,8,Intel HD Graphics 630,Windows,10,1.95,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
287,Asus,15.6,8,Nvidia GeForce 940MX,Windows,10,1.7,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
288,Lenovo,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
289,Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
290,Acer,15.6,2,Intel HD Graphics,Chrome OS,Unkonwn,2.19,16,SSD,Intel,1.5,2,Celeron Dual Core 3205U,1366x768,Unknown,Intel
291,Asus,17.3,8,Nvidia GeForce GTX 1050,Windows,10,3.0,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
292,HP,17.3,8,Intel HD Graphics 520,Windows,10,2.54,1024,HDD,Intel,2.0,2,Core i3 6006U,1600x900,Unknown,Intel
293,Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.0,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
294,Lenovo,15.6,8,Intel UHD Graphics 620,Windows,10,2.05,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
295,Lenovo,15.6,8,Nvidia GeForce GTX 1060,Windows,10,3.2,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
296,Acer,15.6,8,Nvidia GeForce GTX 1050 Ti,Linux,Unkonwn,2.5,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
297,Dell,17.3,16,Nvidia Quadro M1200,Windows,10,3.42,256,SSD,Intel,2.9,4,Core i7 7820HQ,1920x1080,Full HD,Nvidia
298,Lenovo,15.6,6,AMD Radeon R5 430,Windows,10,2.4,1024,HDD,AMD,2.4,4,A10 Series 9600P,1920x1080,Full HD,AMD
299,Asus,15.6,16,Nvidia GeForce 940MX,Windows,10,1.63,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
300,Asus,14.0,4,Intel HD Graphics 620,Windows,10,1.3,128,SSD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
301,Asus,17.3,16,Nvidia GeForce GTX 1070,Windows,10,2.9,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
302,Lenovo,17.3,6,Nvidia GeForce GTX 940M,Windows,10,2.8,1024,HDD,Intel,2.5,2,Core i5 7200U,1600x900,Unknown,Nvidia
303,Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,2048,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Nvidia
304,Asus,15.6,8,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
305,Lenovo,15.6,4,Intel HD Graphics 505,No OS,No OS,2.2,1024,HDD,Intel,1.1,4,Pentium Quad Core N4200,1366x768,Unknown,Intel
306,HP,13.3,16,Intel HD Graphics 620,Windows,10,1.28,256,SSD,Intel,2.8,2,Core i7 7600U,1920x1080,Full HD / Touchscreen,Intel
307,Toshiba,15.6,8,Nvidia GeForce 930M,Windows,10,2.2,256,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,IPS Panel Full HD,Nvidia
308,Lenovo,15.6,8,Nvidia GeForce 940MX,Windows,10,2.3,1152,SSD + HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
309,HP,15.6,4,Intel HD Graphics 520,Windows,10,1.86,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
310,Lenovo,13.3,8,Intel HD Graphics 620,Windows,10,1.1,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
311,Dell,13.3,16,Intel UHD Graphics 620,Windows,10,1.21,1024,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
312,MSI,15.6,16,Nvidia GeForce GTX 1070,Windows,10,2.8,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
313,Acer,15.6,8,AMD Radeon R5,Windows,10,2.23,256,SSD,AMD,2.2,4,A8 Series 7410,1920x1080,Full HD,AMD
314,Asus,11.6,2,Intel HD Graphics 500,Windows,10,1.1,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Touchscreen,Intel
315,Dell,15.6,8,AMD Radeon 530,Windows,10,2.33,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
316,HP,13.3,16,Intel UHD Graphics 620,Windows,10,1.29,1024,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
317,Lenovo,13.3,4,Intel HD Graphics 510,Chrome OS,Unkonwn,1.45,16,Flash Storage,Intel,1.6,2,Celeron Dual Core 3855U,1366x768,Unknown,Intel
318,HP,14.0,8,Intel HD Graphics 620,Windows,10,1.95,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
319,Acer,11.6,4,Intel HD Graphics 405,Windows,10,1.4,128,Flash Storage,Intel,1.6,4,Pentium Quad Core N3710,1366x768,Unknown,Intel
320,HP,14.0,8,Intel HD Graphics 620,Windows,10,1.48,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
321,Lenovo,17.3,4,Nvidia GeForce 920MX,Windows,10,2.79,1024,HDD,Intel,2.5,2,Core i5 7200U,1600x900,Unknown,Nvidia
322,Asus,14.0,8,Intel HD Graphics 620,Windows,10,2.0,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
323,HP,15.6,8,Intel UHD Graphics 620,Windows,10,2.1,1024,HDD,Intel,1.8,4,Core i7 8550U,1366x768,IPS Panel Full HD,Intel
324,Acer,15.6,8,AMD Radeon RX 540,Windows,10,2.2,256,SSD,AMD,2.7,4,A12 Series 9720P,1366x768,Unknown,AMD
325,Lenovo,14.0,4,Intel HD Graphics 500,Windows,10,1.44,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
326,Acer,15.6,6,Intel HD Graphics 620,Windows,10,2.23,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
327,Asus,15.6,8,Nvidia GeForce 940MX,Windows,10,1.7,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
328,HP,12.5,8,Intel HD Graphics 620,Windows,10,1.26,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
329,Dell,15.6,32,Nvidia GeForce GTX 1050,Windows,10,2.06,1024,SSD,Intel,2.8,4,Core i7 7700HQ,3840x2160,4K Ultra HD / Touchscreen,Nvidia
330,MSI,17.3,8,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
331,Toshiba,15.6,8,Intel HD Graphics 620,Windows,10,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
332,Asus,14.0,8,Intel HD Graphics 620,Windows,10,2.0,1280,SSD + HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
333,Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,1.85,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
334,Asus,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
335,HP,14.0,8,Intel HD Graphics 620,Windows,10,1.48,256,SSD,Intel,2.6,2,Core i5 7300U,1920x1080,Full HD,Intel
336,Dell,15.6,8,Nvidia GeForce 940MX,Windows,10,1.9,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
337,HP,15.6,8,Intel HD Graphics 620,Windows,10,1.84,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
338,Asus,15.6,4,Intel HD Graphics 500,Linux,Unkonwn,2.0,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
339,Dell,15.6,8,Nvidia GeForce 940MX,Windows,10,2.0,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
340,Dell,15.6,4,Intel HD Graphics,Linux,Unkonwn,2.2,500,HDD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
341,Lenovo,15.6,12,AMD Radeon 530,Windows,10,2.2,2048,HDD,AMD,3.6,4,A12 Series 9720P,1920x1080,Full HD,AMD
