Manufacturer,Screen_Size,RAM,GPU,Operating_System,Operating_System_Version,Weight,Storage_Capacity,Storage_Type,CPU_brand,CPU_freq,CPU_cores,CPU_model,Screen_Resolution,Screen_Model,GPU_brand
MSI,18.4,32,Nvidia GTX 980 SLI,Windows,10,4.4,1536,SSD + HDD,Intel,2.9,4,Core i7 6920HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,AMD R17M-M1-70,Windows,10,1.9,1152,SSD + HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.29,256,SSD,Intel,1.6,4,Core i5 8250U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
Dell,15.6,16,AMD Radeon 530,Linux,Ubuntu,2.02,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.23,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Lenovo,13.9,16,Intel UHD Graphics 620,Windows,10,1.4,512,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
Toshiba,15.6,8,Intel HD Graphics 620,Windows,10,2.0,128,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
Xiaomi,15.6,8,Nvidia GeForce MX150,No OS,No OS,1.95,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
Dell,17.3,16,Nvidia GeForce 150MX,Windows,10,2.77,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Nvidia
Dell,15.6,16,Nvidia GeForce GTX 1050,Windows,10,2.06,512,SSD,Intel,2.8,4,Core i7 7700HQ,3840x2160,4K Ultra HD / Touchscreen,Nvidia
Lenovo,15.6,8,Nvidia GeForce GTX 1050,No OS,No OS,2.4,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
Acer,13.3,8,Intel HD Graphics 615,Windows,10,1.12,256,SSD,Intel,1.2,2,Core i5 7Y54,1920x1080,IPS Panel Full HD,Intel
Dell,17.3,8,AMD Radeon 530,Windows,10,2.8,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Lenovo,14.0,16,Intel HD Graphics 620,Windows,10,1.42,1024,SSD,Intel,2.7,2,Core i7 7500U,2560x1440,Touchscreen,Intel
Vero,14.0,4,Intel HD Graphics 500,Windows,10,1.3,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1920x1080,IPS Panel Full HD,Intel
Xiaomi,13.3,8,Nvidia GeForce MX150,No OS,No OS,1.3,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,17.3,8,Nvidia GeForce MX150,No OS,No OS,2.8,256,SSD,Intel,1.6,4,Core i5 8250U,1600x900,Unknown,Nvidia
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.62,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
Razer,17.3,32,Nvidia GeForce GTX 1080,Windows,10,3.49,1024,SSD,Intel,2.9,4,Core i7 7820HK,3840x2160,4K Ultra HD / Touchscreen,Nvidia
HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.49,512,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
HP,17.3,16,Nvidia GeForce GTX 1050,Windows,10,3.35,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
HP,17.3,8,Nvidia GeForce 930MX ,Windows,10,2.5,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Dell,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.65,1536,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,3840x2160,IPS Panel 4K Ultra HD,Nvidia
Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,2.1,128,SSD,Intel,2.3,2,Core i5 6200U,1366x768,Unknown,Intel
Acer,15.6,8,Nvidia GeForce 940MX,Windows,10,2.23,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
Lenovo,15.6,16,Nvidia GeForce GTX 1060,Windows,10,3.2,1536,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,15.6,16,Nvidia Quadro M1200,Windows,10,2.8,1280,SSD + HDD,Intel,3.0,4,Xeon E3 1505M V6,3840x2160,4K Ultra HD,Nvidia
Lenovo,15.6,16,Nvidia GeForce GTX 1060,No OS,No OS,2.4,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Dell,15.6,6,Intel HD Graphics 620,Windows,10,2.3,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Touchscreen,Intel
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.21,256,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.2,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Lenovo,15.6,8,Intel HD Graphics 620,Windows,10,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
Acer,15.6,8,Nvidia GeForce GTX 1050,Linux,Ubuntu,2.4,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Asus,17.3,16,Nvidia GeForce GTX 1050,Windows,10,2.9,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,15.6,4,Intel HD Graphics 520,No OS,No OS,2.1,500,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Lenovo,15.6,8,Intel HD Graphics 620,No OS,No OS,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Huawei,13.0,8,Intel HD Graphics 620,Windows,10,1.05,512,SSD,Intel,2.7,2,Core i7 7500U,2160x1440,IPS Panel Full HD,Intel
Dell,13.3,8,AMD Radeon 530,Windows,10,1.4,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,AMD
Lenovo,17.3,8,Nvidia GeForce GTX 940MX,No OS,No OS,2.8,1024,HDD,Intel,2.5,2,Core i5 7200U,1600x900,Unknown,Nvidia
HP,14.0,8,Nvidia GeForce 930MX,Windows,10,1.63,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Dell,14.0,8,Intel UHD Graphics 620,Windows,10,1.6,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Dell,13.3,16,Intel UHD Graphics 620,Windows,10,1.62,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Intel
Dell,15.6,8,AMD Radeon 520,Linux,Ubuntu,2.2,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
Lenovo,14.0,8,Intel UHD Graphics 620,Windows,10,1.74,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Toshiba,13.3,8,Intel HD Graphics 520,Windows,10,1.2,256,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,Full HD,Intel
HP,15.6,8,Intel UHD Graphics 620,Windows,10,2.1,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Dell,17.3,16,Nvidia GeForce GTX 1060,Windows,10,4.42,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Acer,15.6,8,Nvidia GeForce 940MX,Windows,10,2.2,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
Dell,15.6,16,AMD Radeon R7 M445,Windows,10,2.3,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD / Touchscreen,AMD
Asus,15.6,8,Nvidia GeForce 920MX ,Windows,10,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
Asus,17.3,8,Nvidia GeForce GTX 950M,Windows,10,2.69,756,SSD + HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
HP,15.6,8,AMD FirePro W4190M ,Windows,10,1.9,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
Asus,15.6,4,Intel HD Graphics 620,Windows,10,2.37,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
HP,15.6,4,AMD Radeon R2,Windows,10,2.1,500,HDD,AMD,1.5,2,E Series 9000e,1366x768,Unknown,AMD
Lenovo,15.6,16,Nvidia GeForce GTX 1060,Windows,10,3.2,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,14.0,8,Intel HD Graphics 620,Windows,10,1.6,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Acer,13.3,8,Intel HD Graphics 520,Windows,10,1.6,256,SSD,Intel,2.3,2,Core i5 6200U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Dell,15.6,16,AMD Radeon R7 M445,Linux,Ubuntu,2.36,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
Acer,15.6,4,Intel HD Graphics 520,Linux,Ubuntu,2.1,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Asus,15.6,4,AMD Radeon R5 M430,Windows,10,2.2,1152,SSD + HDD,AMD,2.5,4,A10 Series A10 9620P,1920x1080,Full HD,AMD
Asus,17.3,32,Nvidia GeForce GTX 1080,Windows,10,4.7,1536,SSD + HDD,Intel,2.9,4,Core i7 7820HK,1920x1080,Full HD,Nvidia
Acer,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,15.6,8,Intel HD Graphics 520,Windows,10,2.2,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Asus,17.3,8,Nvidia GeForce 150MX,Windows,10,2.1,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Asus,17.3,8,Nvidia GeForce GTX 950M,No OS,No OS,2.69,1152,SSD + HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.56,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
Lenovo,13.9,8,Intel HD Graphics 620,Windows,10,1.38,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Dell,15.6,8,AMD Radeon 530,Windows,10,2.2,2176,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
HP,15.6,8,Intel HD Graphics 620,Windows,10,2.04,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Touchscreen,Intel
Asus,17.3,16,Nvidia GeForce GTX 1080,Windows,10,3.6,256,SSD,Intel,2.9,4,Core i7 7820HK,1920x1080,Full HD,Nvidia
HP,13.3,4,Intel UHD Graphics 620,Windows,10,1.49,500,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Apple,13.3,8,Intel Iris Plus Graphics 650,Mac OS,X,1.37,512,SSD,Intel,3.1,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
Dell,15.6,8,Intel UHD Graphics 620,Windows,10,2.08,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Asus,17.3,16,Nvidia GeForce GTX 980M,Windows,10,4.3,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Asus,15.6,4,AMD Radeon R5 M420,Windows,10,1.68,1024,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
Lenovo,13.9,8,Intel UHD Graphics 620,Windows,10,1.37,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Acer,17.3,4,Nvidia GeForce MX130,Windows,10,3.0,256,SSD,Intel,2.7,2,Core i3 7130U,1920x1080,IPS Panel Full HD,Nvidia
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.41,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
HP,15.6,8,AMD Radeon R4 Graphics,Windows,10,1.91,128,SSD,AMD,2.5,2,A6 Series A6 9220,1366x768,Unknown,AMD
HP,17.3,16,Nvidia GeForce MX150,Windows,10,2.9,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
MSI,17.3,16,Nvidia GeForce GTX 1070,Windows,10,4.14,1536,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,Nvidia GeForce GTX 1050M,Windows,10,2.0,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD / Touchscreen,Nvidia
Dell,17.3,8,AMD Radeon 530,Windows,10,2.8,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Lenovo,15.6,4,Intel HD Graphics 520,No OS,No OS,2.2,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
HP,15.6,4,Intel HD Graphics 620,Windows,10,2.1,500,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Dell,15.6,4,Intel HD Graphics 620,Windows,10,2.18,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Dell,15.6,8,AMD Radeon R5 M430,Windows,10,2.24,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
Dell,15.6,8,Intel UHD Graphics 620,Windows,10,2.67,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Intel
Asus,13.3,8,Intel UHD Graphics 620,Windows,10,1.1,1024,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Intel
Lenovo,15.6,4,Intel HD Graphics 620,No OS,No OS,2.2,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
HP,17.3,8,Nvidia GeForce 930MX ,Windows,10,2.5,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,Intel UHD Graphics 620,Windows,10,2.05,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Apple,13.3,8,Intel Iris Graphics 550,Mac OS,X,1.37,512,SSD,Intel,2.9,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
Asus,17.3,16,AMD Radeon RX 580,Windows,10,3.2,1280,SSD + HDD,AMD,3.0,8,Ryzen 1700,1920x1080,Full HD,AMD
Dell,15.6,8,AMD Radeon 520,Linux,Ubuntu,2.14,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Lenovo,14.0,16,Intel HD Graphics 520,Windows,10,1.36,512,SSD,Intel,2.6,2,Core i7 6600U,2560x1440,Touchscreen,Intel
Toshiba,15.6,8,Nvidia GeForce 930M,Windows,10,2.2,500,HDD,Intel,2.5,2,Core i7 6500U,1366x768,Unknown,Nvidia
Dell,15.6,12,Intel HD Graphics 620,Windows,10,2.3,1024,HDD,Intel,2.7,2,Core i7 7500U,1366x768,Unknown,Intel
Dell,17.3,8,AMD Radeon 530,Linux,Ubuntu,2.8,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Acer,15.6,8,Nvidia GeForce MX130,Windows,10,2.2,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,17.3,4,Intel HD Graphics 520,Windows,10,2.8,1024,HDD,Intel,2.0,2,Core i3 6006U,1600x900,Unknown,Intel
Lenovo,17.3,8,Nvidia GeForce MX150,No OS,No OS,2.8,2048,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Lenovo,17.3,6,Nvidia GeForce 940MX,Windows,10,2.8,1152,SSD + HDD,Intel,2.7,2,Core i7 7500U,1600x900,Unknown,Nvidia
Dell,15.6,4,AMD Radeon R5 M430,Linux,Ubuntu,2.25,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
Lenovo,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,15.6,6,Intel HD Graphics 620,Windows,10,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Acer,15.6,8,Nvidia GeForce MX150,Windows,10,3.0,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
Acer,15.6,12,Intel HD Graphics 620,Windows,10,2.15,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Lenovo,15.6,8,Intel HD Graphics 630,Windows,10,1.95,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
Asus,15.6,8,Nvidia GeForce 940MX,Windows,10,1.7,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
Lenovo,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
Acer,15.6,2,Intel HD Graphics,Chrome OS,Chrome OS,2.19,16,SSD,Intel,1.5,2,Celeron Dual Core 3205U,1366x768,Unknown,Intel
Asus,17.3,8,Nvidia GeForce GTX 1050,Windows,10,3.0,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,17.3,8,Intel HD Graphics 520,Windows,10,2.54,1024,HDD,Intel,2.0,2,Core i3 6006U,1600x900,Unknown,Intel
Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.0,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,Intel UHD Graphics 620,Windows,10,2.05,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Lenovo,15.6,8,Nvidia GeForce GTX 1060,Windows,10,3.2,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Acer,15.6,8,Nvidia GeForce GTX 1050 Ti,Linux,Ubuntu,2.5,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Dell,17.3,16,Nvidia Quadro M1200,Windows,10,3.42,256,SSD,Intel,2.9,4,Core i7 7820HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,6,AMD Radeon R5 430,Windows,10,2.4,1024,HDD,AMD,2.4,4,A10 Series 9600P,1920x1080,Full HD,AMD
Asus,15.6,16,Nvidia GeForce 940MX,Windows,10,1.63,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
Asus,14.0,4,Intel HD Graphics 620,Windows,10,1.3,128,SSD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
Asus,17.3,16,Nvidia GeForce GTX 1070,Windows,10,2.9,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,17.3,6,Nvidia GeForce GTX 940M,Windows,10,2.8,1024,HDD,Intel,2.5,2,Core i5 7200U,1600x900,Unknown,Nvidia
Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,2048,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Nvidia
Asus,15.6,8,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,4,Intel HD Graphics 505,No OS,No OS,2.2,1024,HDD,Intel,1.1,4,Pentium Quad Core N4200,1366x768,Unknown,Intel
HP,13.3,16,Intel HD Graphics 620,Windows,10,1.28,256,SSD,Intel,2.8,2,Core i7 7600U,1920x1080,Full HD / Touchscreen,Intel
Toshiba,15.6,8,Nvidia GeForce 930M,Windows,10,2.2,256,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,15.6,8,Nvidia GeForce 940MX,Windows,10,2.3,1152,SSD + HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
HP,15.6,4,Intel HD Graphics 520,Windows,10,1.86,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Lenovo,13.3,8,Intel HD Graphics 620,Windows,10,1.1,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
Dell,13.3,16,Intel UHD Graphics 620,Windows,10,1.21,1024,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
MSI,15.6,16,Nvidia GeForce GTX 1070,Windows,10,2.8,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Acer,15.6,8,AMD Radeon R5,Windows,10,2.23,256,SSD,AMD,2.2,4,A8 Series 7410,1920x1080,Full HD,AMD
Asus,11.6,2,Intel HD Graphics 500,Windows,10,1.1,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Touchscreen,Intel
Dell,15.6,8,AMD Radeon 530,Windows,10,2.33,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
HP,13.3,16,Intel UHD Graphics 620,Windows,10,1.29,1024,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
Lenovo,13.3,4,Intel HD Graphics 510,Chrome OS,Chrome OS,1.45,16,Flash Storage,Intel,1.6,2,Celeron Dual Core 3855U,1366x768,Unknown,Intel
HP,14.0,8,Intel HD Graphics 620,Windows,10,1.95,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Acer,11.6,4,Intel HD Graphics 405,Windows,10,1.4,128,Flash Storage,Intel,1.6,4,Pentium Quad Core N3710,1366x768,Unknown,Intel
HP,14.0,8,Intel HD Graphics 620,Windows,10,1.48,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
Lenovo,17.3,4,Nvidia GeForce 920MX,Windows,10,2.79,1024,HDD,Intel,2.5,2,Core i5 7200U,1600x900,Unknown,Nvidia
Asus,14.0,8,Intel HD Graphics 620,Windows,10,2.0,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
HP,15.6,8,Intel UHD Graphics 620,Windows,10,2.1,1024,HDD,Intel,1.8,4,Core i7 8550U,1366x768,IPS Panel Full HD,Intel
Acer,15.6,8,AMD Radeon RX 540,Windows,10,2.2,256,SSD,AMD,2.7,4,A12 Series 9720P,1366x768,Unknown,AMD
Lenovo,14.0,4,Intel HD Graphics 500,Windows,10,1.44,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Acer,15.6,6,Intel HD Graphics 620,Windows,10,2.23,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
Asus,15.6,8,Nvidia GeForce 940MX,Windows,10,1.7,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
HP,12.5,8,Intel HD Graphics 620,Windows,10,1.26,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
Dell,15.6,32,Nvidia GeForce GTX 1050,Windows,10,2.06,1024,SSD,Intel,2.8,4,Core i7 7700HQ,3840x2160,4K Ultra HD / Touchscreen,Nvidia
MSI,17.3,8,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Toshiba,15.6,8,Intel HD Graphics 620,Windows,10,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
Asus,14.0,8,Intel HD Graphics 620,Windows,10,2.0,1280,SSD + HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,1.85,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Asus,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.5,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,14.0,8,Intel HD Graphics 620,Windows,10,1.48,256,SSD,Intel,2.6,2,Core i5 7300U,1920x1080,Full HD,Intel
Dell,15.6,8,Nvidia GeForce 940MX,Windows,10,1.9,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
HP,15.6,8,Intel HD Graphics 620,Windows,10,1.84,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Asus,15.6,4,Intel HD Graphics 500,Linux,Ubuntu,2.0,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Dell,15.6,8,Nvidia GeForce 940MX,Windows,10,2.0,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
Dell,15.6,4,Intel HD Graphics,Linux,Ubuntu,2.2,500,HDD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Lenovo,15.6,12,AMD Radeon 530,Windows,10,2.2,2048,HDD,AMD,3.6,4,A12 Series 9720P,1920x1080,Full HD,AMD
HP,15.6,8,Nvidia GeForce 930MX ,Windows,10,2.1,1024,HDD,Intel,2.4,2,Core i3 7100U,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,13.9,16,Intel UHD Graphics 620,Windows,10,1.4,512,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.2,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Lenovo,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.4,2304,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
HP,14.0,2,Intel HD Graphics 400,Windows,10,1.44,32,Flash Storage,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Dell,15.6,16,Intel UHD Graphics 620,Windows,10,1.88,768,SSD,Intel,1.9,4,Core i7 8650U,1920x1080,Full HD,Intel
Asus,11.6,4,Intel HD Graphics 500,Windows,10,1.5,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Touchscreen,Intel
Dell,15.6,8,AMD Radeon 530,Windows,10,1.9,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
